code|i94port_raw|i94port_state|i94port_bps|i94port_city
FOP|MORRIS FIELDS AAF, NC|NC|unknown|MORRIS FIELDS AAF
GSO|PIEDMONT TRIAD INTL AIRPORT, NC|NC|unknown|PIEDMONT TRIAD INTL AIRPORT
RDU|RALEIGH/DURHAM, NC|NC|unknown|RALEIGH/DURHAM
SSC|SHAW AFB - SUMTER, SC|SC|unknown|SHAW AFB - SUMTER
WIL|WILMINGTON, NC|NC|unknown|WILMINGTON
AMB|AMBROSE, ND|ND|unknown|AMBROSE
ANT|ANTLER, ND|ND|unknown|ANTLER
CRY|CARBURY, ND|ND|unknown|CARBURY
DNS|DUNSEITH, ND|ND|unknown|DUNSEITH
FAR|FARGO, ND|ND|unknown|FARGO
FRT|FORTUNA, ND|ND|unknown|FORTUNA
GRF|GRAND FORKS, ND|ND|unknown|GRAND FORKS
HNN|HANNAH, ND|ND|unknown|HANNAH
HNS|HANSBORO, ND|ND|unknown|HANSBORO
MAI|MAIDA, ND|ND|unknown|MAIDA
MND|MINOT, ND|ND|unknown|MINOT
NEC|NECHE, ND|ND|unknown|NECHE
NOO|NOONAN, ND|ND|unknown|NOONAN
NRG|NORTHGATE, ND|ND|unknown|NORTHGATE
PEM|PEMBINA, ND|ND|unknown|PEMBINA
SAR|SARLES, ND|ND|unknown|SARLES
SHR|SHERWOOD, ND|ND|unknown|SHERWOOD
SJO|ST JOHN, ND|ND|unknown|ST JOHN
WAL|WALHALLA, ND|ND|unknown|WALHALLA
WHO|WESTHOPE, ND|ND|unknown|WESTHOPE
WND|WILLISTON, ND|ND|unknown|WILLISTON
OMA|OMAHA, NE|NE|unknown|OMAHA
LEB|LEBANON, NH|NH|unknown|LEBANON
MHT|MANCHESTER, NH|NH|unknown|MANCHESTER
PNH|PITTSBURG, NH|NH|unknown|PITTSBURG
PSM|PORTSMOUTH, NH|NH|unknown|PORTSMOUTH
BYO|BAYONNE, NJ|NJ|unknown|BAYONNE
CNJ|CAMDEN, NJ|NJ|unknown|CAMDEN
HOB|HOBOKEN, NJ|NJ|unknown|HOBOKEN
JER|JERSEY CITY, NJ|NJ|unknown|JERSEY CITY
WRI|MC GUIRE AFB - WRIGHTSOWN, NJ|NJ|unknown|MC GUIRE AFB - WRIGHTSOWN
MMU|MORRISTOWN, NJ|NJ|unknown|MORRISTOWN
NEW|NEWARK/TETERBORO, NJ|NJ|unknown|NEWARK/TETERBORO
PER|PERTH AMBOY, NJ|NJ|unknown|PERTH AMBOY
ACY|POMONA FIELD - ATLANTIC CITY, NJ|NJ|unknown|POMONA FIELD - ATLANTIC CITY
ALA|ALAMAGORDO, NM (BPS)|NM|(BPS)|ALAMAGORDO
ABQ|ALBUQUERQUE, NM|NM|unknown|ALBUQUERQUE
ANP|ANTELOPE WELLS, NM|NM|unknown|ANTELOPE WELLS
CRL|CARLSBAD, NM|NM|unknown|CARLSBAD
COL|COLUMBUS, NM|NM|unknown|COLUMBUS
CDD|CRANE LAKE - ST. LOUIS CNTY, MN|MN|unknown|CRANE LAKE - ST. LOUIS CNTY
DNM|DEMING, NM (BPS)|NM|(BPS)|DEMING
LAS|LAS CRUCES, NM|NM|unknown|LAS CRUCES
LOB|LORDSBURG, NM (BPS)|NM|(BPS)|LORDSBURG
RUI|RUIDOSO, NM|NM|unknown|RUIDOSO
STR|SANTA TERESA, NM|NM|unknown|SANTA TERESA
RNO|CANNON INTL - RENO/TAHOE, NV|NV|unknown|CANNON INTL - RENO/TAHOE
FLX|FALLON MUNICIPAL AIRPORT, NV|NV|unknown|FALLON MUNICIPAL AIRPORT
LVG|LAS VEGAS, NV|NV|unknown|LAS VEGAS
REN|RENO, NV|NV|unknown|RENO
ALB|ALBANY, NY|NY|unknown|ALBANY
AXB|ALEXANDRIA BAY, NY|NY|unknown|ALEXANDRIA BAY
BUF|BUFFALO, NY|NY|unknown|BUFFALO
CNH|CANNON CORNERS, NY|NY|unknown|CANNON CORNERS
CAP|CAPE VINCENT, NY|NY|unknown|CAPE VINCENT
CHM|CHAMPLAIN, NY|NY|unknown|CHAMPLAIN
CHT|CHATEAUGAY, NY|NY|unknown|CHATEAUGAY
CLA|CLAYTON, NY|NY|unknown|CLAYTON
FTC|FORT COVINGTON, NY|NY|unknown|FORT COVINGTON
LAG|LA GUARDIA, NY|NY|unknown|LA GUARDIA
LEW|LEWISTON, NY|NY|unknown|LEWISTON
MAS|MASSENA, NY|NY|unknown|MASSENA
MAG|MCGUIRE AFB, NY|NY|unknown|MCGUIRE AFB
MOO|MOOERS, NY|NY|unknown|MOOERS
MRR|MORRISTOWN, NY|NY|unknown|MORRISTOWN
NYC|NEW YORK, NY|NY|unknown|NEW YORK
NIA|NIAGARA FALLS, NY|NY|unknown|NIAGARA FALLS
OGD|OGDENSBURG, NY|NY|unknown|OGDENSBURG
OSW|OSWEGO, NY|NY|unknown|OSWEGO
ELM|REGIONAL ARPT - HORSEHEADS, NY|NY|unknown|REGIONAL ARPT - HORSEHEADS
ROC|ROCHESTER, NY|NY|unknown|ROCHESTER
ROU|ROUSES POINT, NY|NY|unknown|ROUSES POINT
SWF|STEWART - ORANGE CNTY, NY|NY|unknown|STEWART - ORANGE CNTY
SYR|SYRACUSE, NY|NY|unknown|SYRACUSE
THO|THOUSAND ISLAND BRIDGE, NY|NY|unknown|THOUSAND ISLAND BRIDGE
TRO|TROUT RIVER, NY|NY|unknown|TROUT RIVER
WAT|WATERTOWN, NY|NY|unknown|WATERTOWN
HPN|WESTCHESTER - WHITE PLAINS, NY|NY|unknown|WESTCHESTER - WHITE PLAINS
WRB|WHIRLPOOL BRIDGE, NY|NY|unknown|WHIRLPOOL BRIDGE
YOU|YOUNGSTOWN, NY|NY|unknown|YOUNGSTOWN
AKR|AKRON, OH|OH|unknown|AKRON
ATB|ASHTABULA, OH|OH|unknown|ASHTABULA
CIN|CINCINNATI, OH|OH|unknown|CINCINNATI
CLE|CLEVELAND, OH|OH|unknown|CLEVELAND
CLM|COLUMBUS, OH|OH|unknown|COLUMBUS
LOR|LORAIN, OH|OH|unknown|LORAIN
MBO|MARBLEHEAD, OH|OH|unknown|MARBLEHEAD
SDY|SANDUSKY, OH|OH|unknown|SANDUSKY
TOL|TOLEDO, OH|OH|unknown|TOLEDO
OKC|OKLAHOMA CITY, OK|OK|unknown|OKLAHOMA CITY
TUL|TULSA, OK|OK|unknown|TULSA
AST|ASTORIA, OR|OR|unknown|ASTORIA
COO|COOS BAY, OR|OR|unknown|COOS BAY
HIO|HILLSBORO, OR|OR|unknown|HILLSBORO
MED|MEDFORD, OR|OR|unknown|MEDFORD
NPT|NEWPORT, OR|OR|unknown|NEWPORT
POO|PORTLAND, OR|OR|unknown|PORTLAND
PUT|PUT-IN-BAY, OH|OH|unknown|PUT-IN-BAY
RDM|ROBERTS FIELDS - REDMOND, OR|OR|unknown|ROBERTS FIELDS - REDMOND
ERI|ERIE, PA|PA|unknown|ERIE
MDT|HARRISBURG, PA|PA|unknown|HARRISBURG
HSB|HARRISBURG, PA|PA|unknown|HARRISBURG
PHI|PHILADELPHIA, PA|PA|unknown|PHILADELPHIA
PIT|PITTSBURGH, PA|PA|unknown|PITTSBURGH
AGU|AGUADILLA, PR|PR|unknown|AGUADILLA
BQN|BORINQUEN - AGUADILLA, PR|PR|unknown|BORINQUEN - AGUADILLA
JCP|CULEBRA - BENJAMIN RIVERA, PR|PR|unknown|CULEBRA - BENJAMIN RIVERA
ENS|ENSENADA, PR|PR|unknown|ENSENADA
FAJ|FAJARDO, PR|PR|unknown|FAJARDO
HUM|HUMACAO, PR|PR|unknown|HUMACAO
JOB|JOBOS, PR|PR|unknown|JOBOS
MAY|MAYAGUEZ, PR|PR|unknown|MAYAGUEZ
PON|PONCE, PR|PR|unknown|PONCE
PSE|PONCE-MERCEDITA, PR|PR|unknown|PONCE-MERCEDITA
SAJ|SAN JUAN, PR|PR|unknown|SAN JUAN
VQS|VIEQUES-ARPT, PR|PR|unknown|VIEQUES-ARPT
PRO|PROVIDENCE, RI|RI|unknown|PROVIDENCE
PVD|THEODORE FRANCIS - WARWICK, RI|RI|unknown|THEODORE FRANCIS - WARWICK
CHL|CHARLESTON, SC|SC|unknown|CHARLESTON
CAE|COLUMBIA, SC #ARPT|unknown|unknown|COLUMBIA, SC #ARPT
GEO|GEORGETOWN, SC|SC|unknown|GEORGETOWN
GSP|GREENVILLE, SC|SC|unknown|GREENVILLE
GRR|GREER, SC|SC|unknown|GREER
MYR|MYRTLE BEACH, SC|SC|unknown|MYRTLE BEACH
SPF|BLACK HILLS, SPEARFISH, SD|SD|unknown|BLACK HILLS, SPEARFISH
HON|HOWES REGIONAL ARPT - HURON, SD|SD|unknown|HOWES REGIONAL ARPT - HURON
SAI|SAIPAN, SPN|unknown|unknown|SAIPAN, SPN
TYS|MC GHEE TYSON - ALCOA, TN|TN|unknown|MC GHEE TYSON - ALCOA
MEM|MEMPHIS, TN|TN|unknown|MEMPHIS
NSV|NASHVILLE, TN|TN|unknown|NASHVILLE
TRI|TRI-CITIES ARPT, TN|TN|unknown|TRI-CITIES ARPT
