,code,i94port_raw,i94port_state,i94port_bps,i94port_city,place,city,city_ascii,state_id,state_name,county_fips,county_name,latitude,longitude,population,population_proper,density,source,incorporated,timezone,zips,id,city_ascii_upper,country,country_code,,,
122,EPI,"EASTPORT, ID",ID,unknown,EASTPORT,unknown,Eastport,Eastport,ID,Idaho,16021,Boundary,48.9994,-116.1813,,,8.7,point,FALSE,America/Los_Angeles,83826,1840027043,EASTPORT,United States,US,,,
124,PTL,"PORTHILL, ID",ID,unknown,PORTHILL,unknown,Porthill,Porthill,ID,Idaho,16021,Boundary,48.9983,-116.498,,,15.2,point,FALSE,America/Los_Angeles,83805,1840027044,PORTHILL,United States,US,,,
412,FPT,"FREEPORT, TX",TX,unknown,FREEPORT,unknown,Freeport,Freeport,TX,Texas,48039,Brazoria,28.9454,-95.3601,12169,12169,305.0,polygon,TRUE,America/Chicago,77541 77542,1840020974,FREEPORT,United States,US,,,
82,CAN,"CAPE CANAVERAL, FL",FL,unknown,CAPE CANAVERAL,unknown,Cape Canaveral,Cape Canaveral,FL,Florida,12009,Brevard,28.3934,-80.605,10413,10413,1799.0,polygon,TRUE,America/New_York,32920,1840015091,CAPE CANAVERAL,United States,US,,,
100,PCF,"PORT CANAVERAL, FL",FL,unknown,PORT CANAVERAL,unknown,Cape Canaveral,Cape Canaveral,FL,Florida,12009,Brevard,28.3934,-80.6050,10413,10413,1799,polygon,TRUE,America/New_York,32920,1840015091,,United States,US,,,
93,MLB,"MELBOURNE, FL",FL,unknown,MELBOURNE,unknown,Melbourne,Melbourne,FL,Florida,12009,Brevard,28.1084,-80.6628,82011,82011,717.0,polygon,TRUE,America/New_York,32935 32901 32903 32934 32904 32912 32919 32941,1840015960,MELBOURNE,United States,US,,,
397,BBP,"BIG BEND PARK, TX (BPS)",TX,(BPS),BIG BEND PARK,Boquillas Crossing Port of Entry,Big Bend National Park,Big Bend National Park,TX,Texas,48043,Brewster,29.190093,-102.946545,,,,,,America/Chicago,,,,United States,US,,,
85,FTL,"FORT LAUDERDALE, FL",FL,unknown,FORT LAUDERDALE,unknown,Fort Lauderdale,Fort Lauderdale,FL,Florida,12011,Broward,26.1412,-80.1464,180072,180072,2009.0,polygon,TRUE,America/New_York,33301 33304 33305 33306 33308 33309 33334 33316 33315 33312 33311 33320 33336 33338 33339 33340 33346 33348 33394,1840014236,FORT LAUDERDALE,United States,US,,,
101,PEV,"PORT EVERGLADES, FL",FL,unknown,PORT EVERGLADES,unknown,Fort Lauderdale,Fort Lauderdale,FL,Florida,12011,Broward,26.1412,-80.1464,180072,180072,2009.0,polygon,TRUE,America/New_York,33301 33304 33305 33306 33308 33309 33334 33316 33315 33312 33311 33320 33336 33338 33339 33340 33346 33348 33394,1840014236,FORT LAUDERDALE,United States,US,,,
508,GRB,"GREEN BAY, WI",WI,unknown,GREEN BAY,unknown,Green Bay,Green Bay,WI,Wisconsin,55009,Brown,44.515,-87.9896,208625,105116,892.0,polygon,TRUE,America/Chicago,54311 54304 54302 54301 54303 54305 54306 54308,1840002344,GREEN BAY,United States,US,,,
274,NRG,"NORTHGATE, ND",ND,unknown,NORTHGATE,unknown,Northgate,Northgate,ND,North Dakota,38013,Burke,48.9909,-102.2621,,,3.9,point,FALSE,America/Chicago,58737,1840033086,NORTHGATE,United States,US,,,
291,WRI,"MC GUIRE AFB - WRIGHTSOWN, NJ",NJ,unknown,MC GUIRE AFB - WRIGHTSOWN,unknown,Wrightstown,Wrightstown,NJ,New Jersey,34005,Burlington,40.0258,-74.6317,785,785,163,polygon,TRUE,America/New_York,08640 08562,1840001481,,United States,US,,,
323,MAG,"MCGUIRE AFB, NY",NY,unknown,MCGUIRE AFB,unknown,Wrightstown,Wrightstown,NJ,New Jersey,34005,Burlington,40.0258,-74.6317,785,785,163,polygon,TRUE,America/New_York,08640 08562,1840001481,,United States,US,,,
447,LGU,"CACHE AIRPORT - LOGAN, UT",UT,unknown,CACHE AIRPORT - LOGAN,unknown,Logan,Logan,UT,Utah,49005,Cache,41.7402,-111.8419,100774.0,51115,1122,polygon,TRUE,America/Denver,84321 84341 84322,1840020108,,United States,US,,,
140,LKC,"LAKE CHARLES, LA",LA,unknown,LAKE CHARLES,unknown,Lake Charles,Lake Charles,LA,Louisiana,22019,Calcasieu,30.203,-93.215,153633,77117,706.0,polygon,TRUE,America/Chicago,70605 70607 70601 70615 70602 70606 70609 70612 70616 70629,1840015039,LAKE CHARLES,United States,US,,,
141,LAK,"LAKE CHARLES, LA (BPS)",LA,(BPS),LAKE CHARLES,unknown,Lake Charles,Lake Charles,LA,Louisiana,22019,Calcasieu,30.203,-93.215,153633,77117,706.0,polygon,TRUE,America/Chicago,70605 70607 70601 70615 70602 70606 70609 70612 70616 70629,1840015039,LAKE CHARLES,United States,US,,,
288,CNJ,"CAMDEN, NJ",NJ,unknown,CAMDEN,unknown,Camden,Camden,NJ,New Jersey,34007,Camden,39.9361,-75.1073,74532,74532,3226.0,polygon,TRUE,America/New_York,08104 08105 08102 08103 08101,1840001507,CAMDEN,United States,US,,,
401,BRO,"BROWNSVILLE, TX",TX,unknown,BROWNSVILLE,unknown,Brownsville,Brownsville,TX,Texas,48061,Cameron,25.998,-97.4565,227883,183299,534.0,polygon,TRUE,America/Matamoros,78521 78520 78526 78575 78578,1840019743,BROWNSVILLE,United States,US,,,
440,VIB,"VETERAN INTL BRIDGE, TX",TX,unknown,VETERAN INTL BRIDGE,Veterans International Bridge,Brownsville,Brownsville,TX,Texas,48061,Cameron,25.887837,-97.475887,227883.0,183299,534,polygon,TRUE,America/Matamoros,78521 78520 78526 78575 78578,1840019743,,United States,US,,,
414,HLG,"HARLINGEN, TX",TX,unknown,HARLINGEN,unknown,Harlingen,Harlingen,TX,Texas,48061,Cameron,26.1917,-97.6977,136968,65467,631.0,polygon,TRUE,America/Chicago,78550 78552 78551 78553,1840021036,HARLINGEN,United States,US,,,
423,IND,"LOS INDIOS, TX",TX,unknown,LOS INDIOS,unknown,Los Indios,Los Indios,TX,Texas,48061,Cameron,26.0493,-97.7351,1062,1062,218.0,polygon,TRUE,America/Chicago,78586 78567,1840022265,LOS INDIOS,United States,US,,,
424,LOI,"LOS INDIOS, TX",TX,unknown,LOS INDIOS,unknown,Los Indios,Los Indios,TX,Texas,48061,Cameron,26.0493,-97.7351,1062,1062,218.0,polygon,TRUE,America/Chicago,78586 78567,1840022265,LOS INDIOS,United States,US,,,
432,ISB,"PORT ISABEL, TX",TX,unknown,PORT ISABEL,unknown,Port Isabel,Port Isabel,TX,Texas,48061,Cameron,26.0538,-97.2505,15113,5060,291.0,polygon,TRUE,America/Chicago,78578,1840021040,PORT ISABEL,United States,US,,,
255,MRH,"MOREHEAD CITY, NC",NC,unknown,MOREHEAD CITY,unknown,Morehead City,Morehead City,NC,North Carolina,37031,Carteret,34.7307,-76.7383,48125,9303,508.0,polygon,TRUE,America/New_York,28557 28516,1840016482,MOREHEAD CITY,United States,US,,,
239,GRE,"GREAT FALLS, MT",MT,unknown,GREAT FALLS,unknown,Great Falls,Great Falls,MT,Montana,30013,Cascade,47.5022,-111.2995,65624,58876,991.0,polygon,TRUE,America/Denver,59405 59401 59404 59406,1840019839,GREAT FALLS,United States,US,,,
265,FAR,"FARGO, ND",ND,unknown,FARGO,unknown,Fargo,Fargo,ND,North Dakota,38017,Cass,46.8653,-96.8292,204820,122359,949.0,polygon,TRUE,America/Chicago,58102 58103 58105 58104 58106 58107 58108 58109 58121 58122 58124 58125 58126,1840000177,FARGO,United States,US,,,
268,HNN,"HANNAH, ND",ND,unknown,HANNAH,unknown,Hannah,Hannah,ND,North Dakota,38019,Cavalier,48.9728,-98.6902,14,14,28.0,polygon,TRUE,America/Chicago,58239 58281,1840000026,HANNAH,United States,US,,,
270,MAI,"MAIDA, ND",ND,unknown,MAIDA,unknown,Maida,Maida,ND,North Dakota,38019,Cavalier,48.9986,-98.3648,,,1.6,point,FALSE,America/Winnipeg,58249,1840033077,MAIDA,United States,US,,,
276,SAR,"SARLES, ND",ND,unknown,SARLES,unknown,Sarles,Sarles,ND,North Dakota,38019,Cavalier,48.945,-98.9969,27,27,39.0,polygon,TRUE,America/Chicago,58372,1840001861,SARLES,United States,US,,,
379,CHL,"CHARLESTON, SC",SC,unknown,CHARLESTON,unknown,Charleston,Charleston,SC,South Carolina,45019,Charleston,32.8137,-79.9643,616085,134875,477.0,polygon,TRUE,America/New_York,29414 29424 29455 29407 29401 29403 29409 29492 29412 29402 29413 29417 29422 29425 29457,1840015163,CHARLESTON,United States,US,,,
449,CHO,"ALBEMARLE CHARLOTTESVILLE, VA",VA,unknown,ALBEMARLE CHARLOTTESVILLE,unknown,Charlottesville,Charlottesville,VA,Virginia,51540,Charlottesville (city),38.0375,-78.4855,102016.0,48019,1809,polygon,TRUE,America/New_York,22901 22902 22903 22905 22906 22909,1840001678,,United States,US,,,
113,SAV,"SAVANNAH, GA",GA,unknown,SAVANNAH,unknown,Savannah,Savannah,GA,Georgia,13051,Chatham,32.0282,-81.1786,280082,146444,546.0,polygon,TRUE,America/New_York,31322 31409 31408 31401 31405 31404 31407 31406 31419 31415 31403 31412 31416 31418 31420 31421,1840015830,SAVANNAH,United States,US,,,
330,ELM,"REGIONAL ARPT - HORSEHEAD, NY",NY,unknown,REGIONAL ARPT - HORSEHEAD,unknown,Horseheads,Horseheads,NY,New York,36015,Chemung,42.1689,-76.8299,6460,6460,641,polygon,TRUE,America/New_York,14845,1840004688,,United States,US,,,
193,SSM,"SAULT STE. MARIE, MI",MI,unknown,SAULT STE. MARIE,unknown,Sault Sainte Marie,Sault Sainte Marie,MI,Michigan,26033,Chippewa,46.4817,-84.3723,12637.0,13631,356,polygon,TRUE,America/Detroit,49783,1840003938,,United States,US,,,
460,BRG,"BURLINGTON, VT",VT,unknown,BURLINGTON,unknown,Burlington,Burlington,VT,Vermont,50007,Chittenden,44.4877,-73.2314,108277,42239,1582.0,polygon,TRUE,America/New_York,05405 05401 05408 05406,1840002310,BURLINGTON,United States,US,,,
308,FLX,"FALLON MUNICIPAL AIRPORT, NV",NV,unknown,FALLON MUNICIPAL AIRPORT,unknown,Fallon,Fallon,NV,Nevada,32001,Churchill,39.4739,-118.7780,15867.0,8409,887,polygon,TRUE,America/Los_Angeles,89406 89407 89496,1840020191,,United States,US,,,
492,NEA,"NEAH BAY, WA",WA,unknown,NEAH BAY,unknown,Neah Bay,Neah Bay,WA,Washington,53009,Clallam,48.3612,-124.6115,,,1589.2,polygon,FALSE,America/Los_Angeles,98357,1840023937,NEAH BAY,United States,US,,,
498,PNG,"PORT ANGELES, WA",WA,unknown,PORT ANGELES,unknown,Port Angeles,Port Angeles,WA,Washington,53009,Clallam,48.1142,-123.4565,23865,19872,716.0,polygon,TRUE,America/Los_Angeles,98363 98362,1840019782,PORT ANGELES,United States,US,,,
309,LVG,"LAS VEGAS, NV",NV,unknown,LAS VEGAS,unknown,Las Vegas,Las Vegas,NV,Nevada,32003,Clark,36.2291,-115.2607,2073045,641676,1838.0,polygon,TRUE,America/Los_Angeles,89107 89106 89104 89102 89101 89108 89138 89130 89131 89134 89143 89146 89145 89144 89149 89110 89117 89129 89128 89124 88901 88905 89105 89114 89116 89125 89126 89127 89133 89136 89137 89140 89151 89152 89153 89155 89157 89158 89162 89163 89165 89173 89185 89195,1840020364,LAS VEGAS,United States,US,,,
505,VAN,"VANCOUVER, WA",WA,unknown,VANCOUVER,unknown,Vancouver,Vancouver,WA,Washington,53011,Clark,45.6352,-122.597,175673,175673,1444.0,polygon,TRUE,America/Los_Angeles,98664 98660 98661 98662 98663 98682 98683 98684 98687,1840021189,VANCOUVER,United States,US,,,
352,AST,"ASTORIA, OR",OR,unknown,ASTORIA,unknown,Astoria,Astoria,OR,Oregon,41007,Clatsop,46.1856,-123.8053,14688,9862,620.0,polygon,TRUE,America/Los_Angeles,97103,1840018504,ASTORIA,United States,US,,,
316,CHM,"CHAMPLAIN, NY",NY,unknown,CHAMPLAIN,unknown,Champlain,Champlain,NY,New York,36019,Clinton,44.9882,-73.4408,1063,1063,281.0,polygon,TRUE,America/New_York,12919,1840004044,CHAMPLAIN,United States,US,,,
314,CNH,"CANNON CORNERS, NY",NY,unknown,CANNON CORNERS,Cannon Corners,Mooers,Mooers,NY,New York,36019,Clinton,44.9638,-73.5877,,,216.1,polygon,FALSE,America/New_York,12958,1840004037,,United States,US,,,
577,CNC,"CANNON CORNERS, NY",NY,unknown,CANNON CORNERS,Cannon Corners,Mooers,Mooers,NY,New York,36019,Clinton,44.9638,-73.5877,,,216.1,polygon,FALSE,America/New_York,12958,1840004037,,United States,US,,,
324,MOO,"MOOERS, NY",NY,unknown,MOOERS,unknown,Mooers,Mooers,NY,New York,36019,Clinton,44.9638,-73.5877,,,216.1,polygon,FALSE,America/New_York,12958,1840004037,,United States,US,,,
332,ROU,"ROUSES POINT, NY",NY,unknown,ROUSES POINT,unknown,Rouses Point,Rouses Point,NY,New York,36019,Clinton,44.9933,-73.3633,2152,2152,472.0,polygon,TRUE,America/New_York,12979,1840004043,ROUSES POINT,United States,US,,,
26,DOU,"DOUGLAS, AZ",AZ,unknown,DOUGLAS,unknown,Douglas,Douglas,AZ,Arizona,4003,Cochise,31.3602,-109.5394,16438,16165,624.0,polygon,TRUE,America/Phoenix,85608 85607 85655,1840019496,DOUGLAS,United States,US,,,
29,NAC,"NACO, AZ",AZ,unknown,NACO,unknown,Naco,Naco,AZ,Arizona,4003,Cochise,31.343,-109.9336,,,726.5,polygon,FALSE,America/Phoenix,85603 85620,1840019491,NACO,United States,US,,,
32,POR,"PORTAL, AZ",AZ,unknown,PORTAL,unknown,Portal,Portal,AZ,Arizona,4003,Cochise,31.9137,-109.1414,,,4.8,point,FALSE,America/Phoenix,85632,1840027871,PORTAL,United States,US,,,
95,APF,"NAPLES, FL #ARPT",unknown,unknown,"NAPLES, FL #ARPT",unknown,Naples,Naples,FL,Florida,12021,Collier,26.1504,-81.7936,21948,21948,687,polygon,TRUE,America/New_York,34103 34102 34101 34105 34104 34106,1840015131,NAPLES,United States,US,,,
579,AG0,"MAGNOLIA, AR",AR,unknown,MAGNOLIA,unknown,Magnolia,Magnolia,AR,Arkansas,5027,Columbia,33.2774,-93.2261,10339,11467,336.0,polygon,TRUE,America/Chicago,71753 71754,1840015726,MAGNOLIA,United States,US,,,
126,CHI,"CHICAGO, IL",IL,unknown,CHICAGO,unknown,Chicago,Chicago,IL,Illinois,17031,Cook,41.8373,-87.6861,8675982,2716450,4613.0,polygon,TRUE,America/Chicago,60018 60649 60641 60640 60643 60642 60645 60644 60647 60646 60616 60617 60614 60615 60612 60613 60610 60611 60618 60619 60631 60661 60827 60638 60639 60634 60636 60637 60630 60632 60633 60605 60604 60607 60606 60601 60603 60602 60609 60608 60106 60660 60659 60652 60653 60651 60656 60657 60654 60655 60623 60622 60621 60620 60626 60625 60624 60629 60628 60707 60499 60664 60666 60668 60669 60670 60673 60674 60675 60677 60678 60680 60681 60682 60684 60685 60686 60687 60688 60689 60690 60694 60695 60696 60699,1840000494,CHICAGO,United States,US,,,
